data_acidente;dispositivo_de_controle_de_trafego;condicao_climatica;condicao_de_iluminacao;primeiro_tipo_de_acidente;tipo_de_pista_de_trafego;alinhamento;superficie_da_estrada;defeito_da_estrada;tipo_de_acidente;relacionado_a_intersecao_i;dano;causa_contributiva_primaria;num_unidades;ferimento_mais_severo;ferimentos_total;ferimentos_fatais;ferimentos_incapacitantes;ferimentos_nao_incapacitantes;ferimentos_reportado_nao_evidente;ferimentos_sem_indicacao;hora_acidente;dia_semana_acidente;mes_acidente
09/07/2023 08:32:00 PM;SINAL DE TRÂNSITO;CLARO;ESCURO, ESTRADA ILUMINADA;OBJETO FIXO;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;1;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;1.0;20;5;9
11/02/2016 04:49:00 PM;SINAL DE TRÂNSITO;CHUVA;CREPÚSCULO;ÂNGULO;OUTRO;EM LINHA RETA E NIVELADA;MOLHADO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;ULTRAPASSAR/ULTRAPASSAR INADEQUADAMENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;16;4;11
07/02/2020 05:45:00 PM;DESCONHECIDO;CLARO;LUZ DO DIA; GIRO ;INTERSEÇÃO DESCONHECIDA TSPE;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;17;5;7
08/09/2023 07:00:00 AM;SEM CONTROLES;CLARO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;MÃO ÚNICA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;ULTRAPASSAR/ULTRAPASSAR INADEQUADAMENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;7;4;8
02/09/2020 02:00:00 PM;SINAL DE TRÂNSITO;NEVE;LUZ DO DIA;TRASEIRA PARA TRÁS;RAMPA;EM LINHA RETA E NIVELADA;NEVE OU GELO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;SEGUIR MUITO DE PERTO;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;14;1;2
08/01/2023 11:45:00 PM;SEM CONTROLES;CLARO;ESCURO, ESTRADA ILUMINADA;DESLIZAMENTO LATERAL NA DIREÇÃO OPOSTA;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;N;ACIMA DE $1,500;CURVATURA IRREGULAR/SEM SINAL;4;LESÃO INCAPACITANTE  ;1.0;0.0;1.0;0.0;0.0;1.0;23;3;8
08/01/2023 03:29:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;CICLISTA;ROTA DE TRÁFEGO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;N;$500 OU MENOS;DIRIGIR NO LADO ERRADO/ERRADO;2;RELATADO, NÃO EVIDENTE ;1.0;0.0;0.0;0.0;1.0;1.0;15;3;8
09/05/2023 07:05:00 PM;SINAL DE TRÂNSITO;CLARO;CREPÚSCULO;ÂNGULO;CINCO PONTOS OU MAIS ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;LESÃO INCAPACITANTE  ;3.0;0.0;1.0;2.0;0.0;2.0;19;3;9
09/09/2022 04:53:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;USO INADEQUADO DA FAIXA;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;16;6;9
08/15/2023 06:50:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;MÃO ÚNICA ;EM LINHA RETA E NIVELADA;DESCONHECIDO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$500 OU MENOS;ULTRAPASSAR/ULTRAPASSAR INADEQUADAMENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;18;3;8
08/22/2023 03:50:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;15;3;8
08/02/2023 08:53:00 PM;SINAL DE TRÂNSITO;CLARO;ESCURO, ESTRADA ILUMINADA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;20;4;8
09/06/2023 02:50:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;RELATADO, NÃO EVIDENTE ;1.0;0.0;0.0;0.0;1.0;1.0;14;4;9
07/01/2022 01:00:00 AM;SINAL DE TRÂNSITO;CLARO;ESCURO; GIRO ;MÃO ÚNICA ;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;USO INADEQUADO DA FAIXA;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;1;6;7
09/06/2023 02:30:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;14;4;9
08/17/2023 01:30:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;13;5;8
03/20/2022 03:08:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;15;1;3
09/25/2023 12:00:00 PM;SINAL DE PARE/LUMINOSO;NUBLADO/CLARO;DESCONHECIDO; GIRO ;OUTRO;EM LINHA RETA E NIVELADA;DESCONHECIDO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;12;2;9
09/25/2023 04:01:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;16;2;9
08/18/2023 03:00:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA;ÂNGULO;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;15;6;8
09/06/2023 08:59:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;DIVIDIDO - COM BARREIRA MEDIANA;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;NÃO APLICÁVEL;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;8;4;9
08/16/2023 11:30:00 PM;SINAL DE TRÂNSITO;CLARO;ESCURO, ESTRADA ILUMINADA;TRASEIRA PARA TRÁS;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;NÃO REDUZIR A VELOCIDADE PARA EVITAR ACIDENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;23;4;8
08/18/2023 05:30:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA;ÂNGULO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;17;6;8
08/24/2023 06:22:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;18;5;8
08/24/2023 06:02:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;DESCONSIDERAR SINAL DE TRÂNSITOS;2;LESÃO INCAPACITANTE  ;2.0;0.0;2.0;0.0;0.0;1.0;18;5;8
09/12/2023 06:34:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;HABILIDADES/CONHECIMENTO/EXPERIÊNCIA DE CONDUÇÃO;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;4.0;6;3;9
09/27/2023 01:30:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA; GIRO ;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;13;4;9
08/06/2023 02:30:00 AM;SINAL DE TRÂNSITO;CHUVA;ESCURO;TRASEIRA PARA TRÁS;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;MOLHADO;DESCONHECIDO;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;$501 - $1,500;INCAPAZ DE DETERMINAR;2;RELATADO, NÃO EVIDENTE ;1.0;0.0;0.0;0.0;1.0;2.0;2;1;8
09/28/2023 12:30:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;MOLHADO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;12;5;9
09/09/2023 11:09:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;PEDESTRE;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$500 OU MENOS;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;11;7;9
07/26/2023 07:43:00 AM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;GIRO INCORRETO/SEM SINAL ;2;LESÃO NÃO-INCAPACITANTE  ;1.0;0.0;0.0;1.0;0.0;1.0;7;4;7
08/20/2023 10:00:00 PM;SEM CONTROLES;CLARO;ESCURO;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;22;1;8
08/27/2023 03:07:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;INTERSEÇÃO DESCONHECIDA TSPE;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;15;1;8
09/11/2023 07:40:00 AM;SINAL DE TRÂNSITO;CHUVA;LUZ DO DIA;DE FRENTE;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;MOLHADO;DESCONHECIDO;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;7;2;9
08/21/2023 06:39:00 AM;OUTRO;CLARO;LUZ DO DIA; GIRO ;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;LESÃO NÃO-INCAPACITANTE  ;1.0;0.0;0.0;1.0;0.0;2.0;6;2;8
08/28/2023 01:00:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;13;2;8
08/28/2023 03:06:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;ÂNGULO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;NÃO APLICÁVEL;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;15;2;8
09/15/2023 07:45:00 AM;DESCONHECIDO;CLARO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$500 OU MENOS;ULTRAPASSAR/ULTRAPASSAR INADEQUADAMENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;7;6;9
09/15/2023 03:46:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;LESÃO NÃO-INCAPACITANTE  ;1.0;0.0;0.0;1.0;0.0;2.0;15;6;9
08/22/2023 12:50:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA; GIRO ;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;12;3;8
08/08/2023 10:00:00 AM;SEM CONTROLES;CLARO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;DESCONHECIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;N;$500 OU MENOS;USO INADEQUADO DA FAIXA;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;10;3;8
09/29/2023 07:19:00 PM;SINAL DE TRÂNSITO;CLARO;ESCURO, ESTRADA ILUMINADA;ÂNGULO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;DESCONSIDERAR SINAL DE TRÂNSITOS;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;4.0;19;6;9
09/12/2023 05:40:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;MÃO ÚNICA ;EM LINHA RETA E NIVELADA;DESCONHECIDO;OUTRO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;SEGUIR MUITO DE PERTO;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;17;3;9
08/10/2023 07:30:00 AM;SEM CONTROLES;CLARO;LUZ DO DIA; GIRO ;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;NÃO APLICÁVEL;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;5.0;7;5;8
09/24/2023 07:50:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;VEÍCULO MOTORIZADO ESTACIONADO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;3;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;1.0;19;1;9
08/31/2023 06:35:00 PM;SINAL DE TRÂNSITO;CLARO;CREPÚSCULO; GIRO ;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;EM LINHA RETA E NIVELADA;DESCONHECIDO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;18;5;8
08/23/2023 03:30:00 PM;SINAL DE TRÂNSITO;DESCONHECIDO;LUZ DO DIA;DESLIZAMENTO LATERAL NA MESMA DIREÇÃO;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;DESCONHECIDO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;15;4;8
08/11/2023 09:20:00 AM;SINAL DE TRÂNSITO;CHUVA;LUZ DO DIA; GIRO ;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;MOLHADO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;N;ACIMA DE $1,500;NÃO REDUZIR A VELOCIDADE PARA EVITAR ACIDENTE;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;5.0;9;6;8
08/11/2023 09:50:00 AM;SINAL DE TRÂNSITO;CHUVA;LUZ DO DIA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;MOLHADO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;GIRO INCORRETO/SEM SINAL ;3;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;9;6;8
09/15/2023 07:50:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;PEDESTRE;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;LESÃO NÃO-INCAPACITANTE  ;1.0;0.0;0.0;1.0;0.0;1.0;7;6;9
